algo1,algo2,method,gamma_pref,treatment_percentage,Unnamed: 0,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Item,Item,Ref,1.0,0.0,0,[0.45223781 0.38357146 0.52200113],[0.45187201 0.37656691 0.52070858],0.0,[ 0.00036581 -0.08235544  0.07451837  0.00160151],[-0.00301881 -0.19628647  0.15579351  0.00814579]
User,User,Ref,1.0,0.0,1,[0.09890271 0.06956845 0.15099601],[0.09824968 0.0700441  0.14087868],0.0,[ 0.00065303 -0.02298073  0.02522869  0.00015125],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,2,[0.47221004 0.45811921 0.48632778],[0.47270137 0.45799799 0.48768301],0.0,[-0.00049132 -0.0211757   0.0223773   0.00012344],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,3,[0.9994252 0.9984846 1.       ],[0.99941886 0.99844435 1.        ],0.0,[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  4.58408886e-07],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.5,4,[0.94622379 0.90157946 0.9736463 ],[0.99945251 0.99844444 1.        ],0.4850240627860851,[-0.05322872 -0.0977497  -0.02577171  0.00033715],[-0.05669069 -0.1083655  -0.02646895  0.00047871]
Item,Random,Naive,1.0,0.5,5,[0.48693288 0.41623358 0.55760566],[0.47230388 0.456275   0.48780944],0.4079341669866077,[ 0.014629   -0.05870238  0.08834409  0.00140714],[ 0.02415563 -0.1432253   0.16014823  0.00622332]
Item,User,Naive,1.0,0.5,6,[0.41161888 0.32819444 0.48851867],[0.32844575 0.22130902 0.43699909],0.4903181379928355,[ 0.08317313 -0.01650669  0.18359364  0.00260569],[ 0.20048796 -0.04394262  0.43871368  0.01503247]
Ideal,Item,Naive,1.0,0.5,7,[0.99940898 0.99834515 1.        ],[0.94606642 0.89898827 0.97246377],0.4854609895354843,[0.05334255 0.02713556 0.1004921  0.00035019],[0.0533734  0.0271529  0.10054943 0.00032401]
Ideal,Random,Naive,1.0,0.5,8,[0.99941817 0.99838339 1.        ],[0.47218899 0.4571751  0.48752848],0.4579546935488401,[5.27229180e-01 5.12035030e-01 5.42345770e-01 5.97889525e-05],[5.27536007e-01 5.12256063e-01 5.42516444e-01 5.63546249e-05]
Ideal,User,Naive,1.0,0.5,9,[0.99945523 0.99844948 1.        ],[0.81111898 0.54356144 0.9242209 ],0.4577159668924248,[0.18833625 0.07549599 0.45552088 0.00939836],[0.18844135 0.07553697 0.45593929 0.00883404]
Random,Item,Naive,1.0,0.5,10,[0.47245103 0.45832265 0.48744183],[0.48760057 0.41716423 0.55963126],0.4081472972335307,[-0.01514954 -0.09053016  0.05815831  0.00143874],[-0.03239327 -0.19555593  0.12201436  0.00621341]
Random,Ideal,Naive,1.0,0.5,11,[0.47229979 0.45710594 0.48621444],[0.99942041 0.99837949 1.        ],0.4571073259816594,[-5.2712062e-01 -5.4229298e-01 -5.1345620e-01  5.4115465e-05],[-1.11664613 -1.18701089 -1.05595826  0.00122147]
Random,User,Naive,1.0,0.5,12,[0.47264671 0.45752865 0.48774404],[0.12034272 0.08769854 0.17850324],0.4214115820051209,[0.35230398 0.2947014  0.38736509 0.00055879],[0.74536516 0.62580112 0.81579016 0.00227755]
User,Ideal,Naive,1.0,0.5,13,[0.81706939 0.55957056 0.93356532],[0.99940446 0.99837963 1.        ],0.4572382566229803,[-0.18233507 -0.43912038 -0.0662166   0.00904943],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,14,[0.12074685 0.08577705 0.17756165],[0.4722172  0.45798424 0.48683441],0.42120446068062,[-0.35147035 -0.39056203 -0.29128611  0.00064138],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,15,[0.3275292  0.21539464 0.44168009],[0.41241814 0.33095121 0.49087609],0.4903778331093116,[-0.08488893 -0.18895208  0.01620602  0.00273908],[-0.2903076  -0.79629075  0.04071511  0.04846781]
