algo1,algo2,method,gamma_pref,treatment_percentage,TUR_algo_1,TUR_algo_2,TE,Percentage_TE
Item,Item,Ref,1.0,0.0,[0.4522632  0.38357146 0.52200113],[0.45189342 0.37656691 0.52070858],[ 0.00036978 -0.08235544  0.07451837  0.00160151],[-0.00300834 -0.19628647  0.15579351  0.0081475 ]
User,User,Ref,1.0,0.0,[0.09890271 0.06956845 0.15099601],[0.09824968 0.0700441  0.14087868],[ 0.00065303 -0.02298073  0.02522869  0.00015125],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,[0.47221004 0.45811921 0.48632778],[0.47270137 0.45799799 0.48768301],[-0.00049132 -0.0211757   0.0223773   0.00012344],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,[0.9994252 0.9984846 1.       ],[0.99941886 0.99844435 1.        ],[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  4.58408886e-07],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.6,[0.95352557 0.9178504  0.97803743],[0.99944175 0.99861056 1.        ],[-0.04591619 -0.0818486  -0.02099431  0.000241  ],[-0.04847857 -0.08919328 -0.02147807  0.00035022]
Item,Random,Naive,1.0,0.6,[0.50312739 0.42702419 0.58022858],[0.47213526 0.45777778 0.48575927],[ 0.03099213 -0.04615905  0.11150785  0.00161774],[ 0.05561937 -0.10884616  0.19278118  0.00608848]
Item,User,Naive,1.0,0.6,[0.40246059 0.31936111 0.48503874],[0.28498833 0.17377173 0.39527282],[0.11747226 0.01472334 0.23044467 0.00302841],[0.2901359  0.03850222 0.54101001 0.01738445]
Ideal,Item,Naive,1.0,0.6,[0.99941084 0.99823171 1.        ],[0.93302484 0.87355775 0.96501124],[0.066386   0.03414728 0.12580499 0.00054672],[0.0664244  0.0341956  0.12588519 0.00055622]
Ideal,Random,Naive,1.0,0.6,[0.99941976 0.99824561 1.        ],[0.47227734 0.45925612 0.48542205],[5.2714243e-01 5.1377966e-01 5.4005426e-01 4.4926242e-05],[5.27448232e-01 5.14038856e-01 5.40493138e-01 4.58163204e-05]
Ideal,User,Naive,1.0,0.6,[0.99944342 0.9982716  1.        ],[0.6656544  0.3211629  0.88052087],[0.33378901 0.11900677 0.67775986 0.02031738],[0.33398182 0.11906215 0.67849073 0.0224374 ]
Random,Item,Naive,1.0,0.6,[0.47229646 0.45630962 0.48947619],[0.47734065 0.40670327 0.5427452 ],[-0.00504419 -0.07305883  0.06737809  0.00128348],[-0.01104502 -0.15594099  0.14041166  0.00583662]
Random,Ideal,Naive,1.0,0.6,[0.47236693 0.45497037 0.48970241],[0.99941582 0.99849276 1.        ],[-5.27048890e-01 -5.44193280e-01 -5.09717400e-01  7.73496917e-05],[-1.11651907 -1.19598533 -1.04080834  0.00160993]
Random,User,Naive,1.0,0.6,[0.47262588 0.45523677 0.48976796],[0.11271842 0.08169811 0.16378203],[0.35990746 0.30650756 0.39480034 0.00050732],[0.76147274 0.65015458 0.82720723 0.001935  ]
User,Ideal,Naive,1.0,0.6,[0.88825445 0.75465033 0.94848701],[0.99940208 0.99851824 1.        ],[-0.11114763 -0.24489234 -0.05096485  0.00244741],[-0.12987426 -0.32451111 -0.0537213   0.00638687]
User,Random,Naive,1.0,0.6,[0.13170065 0.09344697 0.19206349],[0.47202645 0.45838151 0.48539759],[-0.3403258  -0.38222222 -0.27708571  0.00071934],[-2.71064328 -4.06319774 -1.47037531  0.45773673]
User,Item,Naive,1.0,0.6,[0.36306071 0.25446919 0.467649  ],[0.42170969 0.3457327  0.49519263],[-0.05864898 -0.15959245  0.0271041   0.0022683 ],[-0.18222682 -0.55992545  0.06043912  0.02951989]
Item,Ideal,Split,1.0,0.6,[0.33614969 0.24390303 0.42948611],[0.99941999 0.9985422  1.        ],[-0.6632703  -0.75588046 -0.56996368  0.00224939],[-2.03642138 -3.09910363 -1.32708371  0.21292952]
Item,Random,Split,1.0,0.6,[0.33912358 0.2464851  0.43445894],[0.47239709 0.4598109  0.48606872],[-0.13327352 -0.22716714 -0.03707239  0.00235163],[-0.42380691 -0.92172897 -0.08619961  0.04770072]
